# Constructed from biom file,NERRs
#OTU ID,NERRs
SSVI022224tb,NERRs
SSVIw0222241,NERRs
SSVIw0222242,NERRs
SSVIw0222243,NERRs
SSWA022224tb,NERRs
SSWAw0222241,NERRs
SSWAw0222242,NERRs
SSWAw0222243,NERRs
SSWS022224tb,NERRs
SSWSw0222241,NERRs
SSWSw0222242,NERRs
SSWSw0222243,NERRs
XB1032024,NERRs
XB2032024,NERRs
XB3032024,NERRs
GBGBtb080723,NERRs
GBGBw0807231,NERRs
GBGBw0807232,NERRs
GBGBw0807233,NERRs
GBGTMHENTC013024,NERRs
GBGTMHEOst013024,NERRs
GBlb0807231,NERRs
GBlb0807232,NERRs
GBLRtb080723,NERRs
GBLRw0807231,NERRs
GBLRw0807232,NERRs
GBLRw0807233,NERRs
GBORtb080723,NERRs
GBORw0807231,NERRs
GBORw0807232,NERRs
GBORw0807233,NERRs
GBSQtb080723,NERRs
GBSQw0807231,NERRs
GBSQw0807232,NERRs
GBSQw0807233,NERRs
GTMFMtb080123,NERRs
GTMFMw0801231,NERRs
GTMFMw0801232,NERRs
GTMFMw0801233,NERRs
GTMlb0801231,NERRs
GTMlb0801232,NERRs
GTMlb0801233,NERRs
GTMPCw0817231,NERRs
GTMPCw0817232,NERRs
GTMPCw0817233,NERRs
GTMPItb080123,NERRs
GTMPIw0801231,NERRs
GTMPIw0801232,NERRs
GTMPIw0801233,NERRs
GTMsbAugust2023,NERRs
GTMSSw0801231,NERRs
GTMSSw0801232,NERRs
GTMSSw0801233,NERRs
HEABtb080123,NERRs
HEABw0801231,NERRs
HEABw0801232,NERRs
HEABw0801233,NERRs
HEKKw0801231,NERRs
HEKKw0801232,NERRs
HEKKw0801233,NERRs
HElb0802234,NERRs
HEPHtb080123,NERRs
HEPHw0801231,NERRs
HEPHw0801232,NERRs
HEPHw0801233,NERRs
HER9w0802231,NERRs
HER9w0802232,NERRs
HER9w0802233,NERRs
HEsbAugust2023,NERRs
HEW2tb080123,NERRs
HEW2w0801231,NERRs
HEW2w0801232,NERRs
HEW2w0801233,NERRs
XB1100223,NERRs
AB141tb052323,NERRs
AB141w0523231,NERRs
AB141w0523232,NERRs
AB141w0523233,NERRs
AB151tb052323,NERRs
AB151w0523231,NERRs
AB151w0523232,NERRs
AB151w0523233,NERRs
AB161tb052323,NERRs
AB161w0523231,NERRs
AB161w0523232,NERRs
AB161w0523233,NERRs
AB181tb052323,NERRs
AB181w0523231,NERRs
AB181w0523232,NERRs
AB181w0523233,NERRs
AB221tb052323,NERRs
AB221w0523231,NERRs
AB221w0523232,NERRs
AB221w0523233,NERRs
ABGBHENTC030524,NERRs
ABGBHEOst030524,NERRs
ABH2O061423,NERRs
ABlb0523231,NERRs
ABlb0523232,NERRs
ABlb0523233,NERRs
ABsbMay2023,NERRs
ABXB1061423,NERRs
GBGBtb050823,NERRs
GBGBw0508231,NERRs
GBGBw0508232,NERRs
GBGBw0508233,NERRs
GBH2O0612231,NERRs
GBH2O0612232,NERRs
GBlb0508231,NERRs
GBlb0508232,NERRs
GBLRtb050823,NERRs
GBLRw0508231,NERRs
GBLRw0508232,NERRs
GBORtb050823,NERRs
GBORw0508231,NERRs
GBORw0508232,NERRs
GBORw0508233,NERRs
GBSQtb050823,NERRs
GBSQw0508231,NERRs
GBSQw0508232,NERRs
GBSQw0508233,NERRs
GBXB1061223,NERRs
HEABtb050423,NERRs
HEABw0504231,NERRs
HEABw0504232,NERRs
HEABw0504233,NERRs
HEH2O062823,NERRs
HEKKtb050423,NERRs
HEKKw0504231,NERRs
HEKKw0504232,NERRs
HEKKw0504233,NERRs
HElb0504231,NERRs
HElb0504232,NERRs
HElb0504233,NERRs
HElb0504234,NERRs
HElb0505231,NERRs
HEPHtb050423,NERRs
HEPHw0504231,NERRs
HEPHw0504232,NERRs
HEPHw0504233,NERRs
HER9tb050523,NERRs
HER9w0505231,NERRs
HER9w0505232,NERRs
HER9w0505233,NERRs
HEsbMay2023,NERRs
HEW2tb050423,NERRs
HEW2w0504231,NERRs
HEW2w0504232,NERRs
HEW2w0504233,NERRs
HEXB1062823,NERRs
AB141tb110723,NERRs
AB141w1107231,NERRs
AB141w1107232,NERRs
AB141w1107233,NERRs
AB151tb110723,NERRs
AB151w1107231,NERRs
AB151w1107232,NERRs
AB151w1107233,NERRs
AB161tb110723,NERRs
AB161w1107231,NERRs
AB161w1107232,NERRs
AB161w1107233,NERRs
AB181tb110723,NERRs
AB181w1107231,NERRs
AB181w1107232,NERRs
AB181w1107233,NERRs
AB221tb110723,NERRs
AB221w1107231,NERRs
AB221w1107232,NERRs
AB221w1107233,NERRs
ABGBJCNTC010424,NERRs
ABlb1107231,NERRs
ABlb1107232,NERRs
ABlb1107233,NERRs
ABsbSeptember2023,NERRs
GBGBtb110623,NERRs
GBGBw1106231,NERRs
GBGBw1106232,NERRs
GBGBw1106233,NERRs
GBlb1106231,NERRs
GBlb1106232,NERRs
GBLRw1106231,NERRs
GBLRw1106232,NERRs
GBLRw1106233,NERRs
GBORtb110623,NERRs
GBORw1106231,NERRs
GBORw1106232,NERRs
GBORw1106233,NERRs
GBSQw1106231,NERRs
GBSQw1106232,NERRs
GBSQw1106233,NERRs
JCB6tb110623,NERRs
JCB6w1106231,NERRs
JCB6w1106232,NERRs
JCB6w1106233,NERRs
JCB9tb110623,NERRs
JCB9w1106231,NERRs
JCB9w1106232,NERRs
JCB9w1106233,NERRs
JCBAtb110623,NERRs
JCBAw1106231,NERRs
JCBAw1106232,NERRs
JCBAw1106233,NERRs
JCCNtb110623,NERRs
JCCNw1106231,NERRs
JCCNw1106232,NERRs
JCCNw1106233,NERRs
JClb1106231,NERRs
JClb1106232,NERRs
JClb1106233,NERRs
JCLStb110623,NERRs
JCLSw1106231,NERRs
JCLSw1106232,NERRs
JCLSw1106233,NERRs
JCsbSeptember2023,NERRs
XB1111323,NERRs
GBcb0816221-18,GB2022-18SNX090525
GBcb0816222-18,GB2022-18SNX090525
GBGBtb051722-18,GB2022-18SNX090525
GBGBtb111522-18,GB2022-18SNX090525
GBGBw0517221-18,GB2022-18SNX090525
GBGBw0517222-18,GB2022-18SNX090525
GBGBw0517223-18,GB2022-18SNX090525
GBGBw1115221-18,GB2022-18SNX090525
GBGBw1115222-18,GB2022-18SNX090525
GBGBw1115223-18,GB2022-18SNX090525
GBlb0517221-18,GB2022-18SNX090525
GBlb0517222-18,GB2022-18SNX090525
GBlb0517223-18,GB2022-18SNX090525
GBlb0815221-18,GB2022-18SNX090525
GBlb0815222-18,GB2022-18SNX090525
GBlb0815223-18,GB2022-18SNX090525
GBlb1115221-18,GB2022-18SNX090525
GBlb1115222-18,GB2022-18SNX090525
GBLRtb051722-18,GB2022-18SNX090525
GBLRtb081522-18,GB2022-18SNX090525
GBLRw0517221-18,GB2022-18SNX090525
GBLRw0517222-18,GB2022-18SNX090525
GBLRw0517223-18,GB2022-18SNX090525
GBLRw0815223-18,GB2022-18SNX090525
GBLRw1115221-18,GB2022-18SNX090525
GBLRw1115222-18,GB2022-18SNX090525
GBLRw1115223-18,GB2022-18SNX090525
GBORtb051722-18,GB2022-18SNX090525
GBORtb081522-18,GB2022-18SNX090525
GBORtb111522-18,GB2022-18SNX090525
GBORw0517221-18,GB2022-18SNX090525
GBORw0517222-18,GB2022-18SNX090525
GBORw0517223-18,GB2022-18SNX090525
GBORw0815221-18,GB2022-18SNX090525
GBORw0815222-18,GB2022-18SNX090525
GBORw0815223-18,GB2022-18SNX090525
GBORw1115221-18,GB2022-18SNX090525
GBORw1115222-18,GB2022-18SNX090525
GBORw1115223-18,GB2022-18SNX090525
GBOst1to10090525-18,GB2022-18SNX090525
GBSQtb051722-18,GB2022-18SNX090525
GBSQtb081522-18,GB2022-18SNX090525
GBSQtb111522-18,GB2022-18SNX090525
GBSQw0517221-18,GB2022-18SNX090525
GBSQw0517222-18,GB2022-18SNX090525
GBSQw0517223-18,GB2022-18SNX090525
GBSQw0815221-18,GB2022-18SNX090525
GBSQw0815222-18,GB2022-18SNX090525
GBSQw0815223-18,GB2022-18SNX090525
GBSQw1115221-18,GB2022-18SNX090525
GBSQw1115222-18,GB2022-18SNX090525
GBSQw1115223-18,GB2022-18SNX090525
GBXB1012623-18,GB2022-18SNX090525
GBXB2012623-18,GB2022-18SNX090525
GBXB3012623-18,GB2022-18SNX090525
GRBtb081522-18,GB2022-18SNX090525
GRBw0815221-18,GB2022-18SNX090525
GRBw0815223-18,GB2022-18SNX090525
XB1081722-18,GB2022-18SNX090525
XB2081722-18,GB2022-18SNX090525
XB2051922-18,GB2022-18SNX090525
XB3081722-18,GB2022-18SNX090525
XB1051922-18,GB2022-18SNX090525
XB1051822-18,GB2022-18SNX090525
GBLRtb111522-18,GB2022-18SNX090525
GBNTC090525-18,GB2022-18SNX090525
GRBw0815222-18,GB2022-18SNX090525
FB1w072621-18,GB2021-18SNX090425
FB1w092021-18,GB2021-18SNX090425
FB1w092921-18,GB2021-18SNX090425
GB1w071521-18,GB2021-18SNX090425
GB1w092021-18,GB2021-18SNX090425
GB2w071521-18,GB2021-18SNX090425
GB2w092021-18,GB2021-18SNX090425
GB3w071521-18,GB2021-18SNX090425
GB3w092021-18,GB2021-18SNX090425
GBNTC090425-18,GB2021-18SNX090425
GBOst1to10090425-18,GB2021-18SNX090425
LB1w071521-18,GB2021-18SNX090425
LB1w072621-18,GB2021-18SNX090425
LB1w092021-18,GB2021-18SNX090425
LB1w092921-18,GB2021-18SNX090425
LB2071521-18,GB2021-18SNX090425
LB2w072621-18,GB2021-18SNX090425
LB2w092921-18,GB2021-18SNX090425
LR1w071521-18,GB2021-18SNX090425
LR1w092021-18,GB2021-18SNX090425
LR2w071521-18,GB2021-18SNX090425
LR2w092021-18,GB2021-18SNX090425
LR3w071521-18,GB2021-18SNX090425
LR3w092021-18,GB2021-18SNX090425
MUAP1w072621-18,GB2021-18SNX090425
MUAP1w092921-18,GB2021-18SNX090425
MUAP2w072621-18,GB2021-18SNX090425
MUAP2w092921-18,GB2021-18SNX090425
MUAP3w072621-18,GB2021-18SNX090425
MUAP3w092921-18,GB2021-18SNX090425
MULR1w072621-18,GB2021-18SNX090425
MULR1w092921-18,GB2021-18SNX090425
MULR2w072621-18,GB2021-18SNX090425
MULR2w092921-18,GB2021-18SNX090425
MULR3w072621-18,GB2021-18SNX090425
MULR3w092921-18,GB2021-18SNX090425
MUNI1w072621-18,GB2021-18SNX090425
MUNI1w092921-18,GB2021-18SNX090425
MUNI2w072621-18,GB2021-18SNX090425
MUNI2w092921-18,GB2021-18SNX090425
MUNI3w072621-18,GB2021-18SNX090425
MUNI3w092921-18,GB2021-18SNX090425
OR1w071521-18,GB2021-18SNX090425
OR1w092021-18,GB2021-18SNX090425
OR2w071521-18,GB2021-18SNX090425
OR2w092021-18,GB2021-18SNX090425
OR3w071521-18,GB2021-18SNX090425
OR3w092021-18,GB2021-18SNX090425
OYAP1w092921-18,GB2021-18SNX090425
OYAP2w072621-18,GB2021-18SNX090425
OYAP2w092921-18,GB2021-18SNX090425
OYAP3w072621-18,GB2021-18SNX090425
OYAP3w092921-18,GB2021-18SNX090425
OYLR1w072621-18,GB2021-18SNX090425
OYLR1w092921-18,GB2021-18SNX090425
OYLR2w072621-18,GB2021-18SNX090425
OYLR2w092921-18,GB2021-18SNX090425
OYLR3w072621-18,GB2021-18SNX090425
OYLR3w092921-18,GB2021-18SNX090425
OYNI1w072621-18,GB2021-18SNX090425
OYNI1w092921-18,GB2021-18SNX090425
OYNI2w072621-18,GB2021-18SNX090425
OYNI2w092921-18,GB2021-18SNX090425
OYNI3w072621-18,GB2021-18SNX090425
OYNI3w092921-18,GB2021-18SNX090425
SEAP1w071621-18,GB2021-18SNX090425
SEAP1w092921-18,GB2021-18SNX090425
SEAP2w072621-18,GB2021-18SNX090425
SEAP2w092921-18,GB2021-18SNX090425
SEAP3w072621-18,GB2021-18SNX090425
SEAP3w092921-18,GB2021-18SNX090425
SELR1w072621-18,GB2021-18SNX090425
SELR1w092921-18,GB2021-18SNX090425
SELR2w072621-18,GB2021-18SNX090425
SELR2w092921-18,GB2021-18SNX090425
SELR3w072621-18,GB2021-18SNX090425
SELR3w092921-18,GB2021-18SNX090425
SENI1w072621-18,GB2021-18SNX090425
SENI1w092921-18,GB2021-18SNX090425
SENI2w072621-18,GB2021-18SNX090425
SENI2w092921-18,GB2021-18SNX090425
SENI3w072621-18,GB2021-18SNX090425
SENI3w092921-18,GB2021-18SNX090425
SQ1w071521-18,GB2021-18SNX090425
SQ1w092021-18,GB2021-18SNX090425
SQ2w071521-18,GB2021-18SNX090425
SQ2w092021-18,GB2021-18SNX090425
SQ3w071521-18,GB2021-18SNX090425
SQ3w092021-18,GB2021-18SNX090425
XB1072721-18,GB2021-18SNX090425
XB1072821-18,GB2021-18SNX090425
XB2072721-18,GB2021-18SNX090425
XB2072821-18,GB2021-18SNX090425
XB4072321-18,GB2021-18SNX090425
XB5072321-18,GB2021-18SNX090425
OYAP1w072621-18,GB2021-18SNX090425
WE-Ost1to10090225-18,Wells20192022-18SNX090225
WEHTtb052622-18,Wells20192022-18SNX090225
WEHTtb082322-18,Wells20192022-18SNX090225
WEHTtb112222-18,Wells20192022-18SNX090225
WEHTw0526221-18,Wells20192022-18SNX090225
WEHTw0526222-18,Wells20192022-18SNX090225
WEHTw0526223-18,Wells20192022-18SNX090225
WEHTw0823221-18,Wells20192022-18SNX090225
WEHTw0823222-18,Wells20192022-18SNX090225
WEHTw0823223-18,Wells20192022-18SNX090225
WEHTw1122221-18,Wells20192022-18SNX090225
WEHTw1122222-18,Wells20192022-18SNX090225
WEHTw1122223-18,Wells20192022-18SNX090225
WEINtb052622-18,Wells20192022-18SNX090225
WEINtb082322-18,Wells20192022-18SNX090225
WEINtb112222-18,Wells20192022-18SNX090225
WEINw0526221-18,Wells20192022-18SNX090225
WEINw0526222-18,Wells20192022-18SNX090225
WEINw0526223-18,Wells20192022-18SNX090225
WEINw0823221-18,Wells20192022-18SNX090225
WEINw0823222-18,Wells20192022-18SNX090225
WEINw0823223-18,Wells20192022-18SNX090225
WEINw1122221-18,Wells20192022-18SNX090225
WEINw1122222-18,Wells20192022-18SNX090225
WEINw1122223-18,Wells20192022-18SNX090225
WElb0526221-18,Wells20192022-18SNX090225
WElb0526222-18,Wells20192022-18SNX090225
WElb0823221-18,Wells20192022-18SNX090225
WElb0823222-18,Wells20192022-18SNX090225
WElb1122221-18,Wells20192022-18SNX090225
WElb1122222-18,Wells20192022-18SNX090225
WELMtb052622-18,Wells20192022-18SNX090225
WELMtb082322-18,Wells20192022-18SNX090225
WELMtb112222-18,Wells20192022-18SNX090225
WELMw0526221-18,Wells20192022-18SNX090225
WELMw0526222-18,Wells20192022-18SNX090225
WELMw0526223-18,Wells20192022-18SNX090225
WELMw0823221-18,Wells20192022-18SNX090225
WELMw0823222-18,Wells20192022-18SNX090225
WELMw0823223-18,Wells20192022-18SNX090225
WELMw1122221-18,Wells20192022-18SNX090225
WELMw1122222-18,Wells20192022-18SNX090225
WELMw1122223-18,Wells20192022-18SNX090225
WESMtb052622-18,Wells20192022-18SNX090225
WESMtb082322-18,Wells20192022-18SNX090225
WESMw0526221-18,Wells20192022-18SNX090225
WESMw0526222-18,Wells20192022-18SNX090225
WESMw0526223-18,Wells20192022-18SNX090225
WESMw0823221-18,Wells20192022-18SNX090225
WESMw0823222-18,Wells20192022-18SNX090225
WESMw0823223-18,Wells20192022-18SNX090225
WESMw1122222-18,Wells20192022-18SNX090225
WESMw1122223-18,Wells20192022-18SNX090225
WRSWMPHT061919-18,Wells20192022-18SNX090225
WRSWMPIN061919-18,Wells20192022-18SNX090225
WRSWMPIN062119-18,Wells20192022-18SNX090225
WRSWMPLM061919-18,Wells20192022-18SNX090225
WRSWMPLM062119-18,Wells20192022-18SNX090225
WRSWMPSM061919-18,Wells20192022-18SNX090225
WESMtb112222-18,Wells20192022-18SNX090225
WE-NTC090225-18,Wells20192022-18SNX090225
FB090320-18,GB2020-18SNX090325
GBOst1to10090325-18,GB2020-18SNX090325
LB0824201-18,GB2020-18SNX090325
LB0824202-18,GB2020-18SNX090325
LB1090320-18,GB2020-18SNX090325
LB2090320-18,GB2020-18SNX090325
LB3090320-18,GB2020-18SNX090325
MUAP1w090320-18,GB2020-18SNX090325
MUAP2w090320-18,GB2020-18SNX090325
MUAP3w090320-18,GB2020-18SNX090325
MULR1w090320-18,GB2020-18SNX090325
MULR2w090320-18,GB2020-18SNX090325
MULR3w090320-18,GB2020-18SNX090325
MUNI1w090320-18,GB2020-18SNX090325
MUNI2w090320-18,GB2020-18SNX090325
MUNI3w090320-18,GB2020-18SNX090325
OYAP1w090320-18,GB2020-18SNX090325
OYAP2w090320-18,GB2020-18SNX090325
OYAP3w090320-18,GB2020-18SNX090325
OYLR1w090320-18,GB2020-18SNX090325
OYLR2w090320-18,GB2020-18SNX090325
OYLR3w090320-18,GB2020-18SNX090325
OYNI1w090320-18,GB2020-18SNX090325
OYNI2w090320-18,GB2020-18SNX090325
OYNI3w090320-18,GB2020-18SNX090325
SEAP1w090320-18,GB2020-18SNX090325
SEAP2w090320-18,GB2020-18SNX090325
SEAP3w090320-18,GB2020-18SNX090325
SELR1w090320-18,GB2020-18SNX090325
SELR2w090320-18,GB2020-18SNX090325
SENI1w090320-18,GB2020-18SNX090325
SENI2w090320-18,GB2020-18SNX090325
SENI3w090320-18,GB2020-18SNX090325
SWMPGB1w082420-18,GB2020-18SNX090325
SWMPGB2w082420-18,GB2020-18SNX090325
SWMPGB3w082420-18,GB2020-18SNX090325
SWMPLR1w082420-18,GB2020-18SNX090325
SWMPLR2w082420-18,GB2020-18SNX090325
SWMPLR3w082420-18,GB2020-18SNX090325
SWMPOR1w082420-18,GB2020-18SNX090325
SWMPOR2w082420-18,GB2020-18SNX090325
SWMPOR3w082420-18,GB2020-18SNX090325
SWMPSQ1w082420-18,GB2020-18SNX090325
SWMPSQ2w082420-18,GB2020-18SNX090325
SWMPSQ3w082420-18,GB2020-18SNX090325
XB1082520-18,GB2020-18SNX090325
XB1090820-18,GB2020-18SNX090325
XB1101521-18,GB2020-18SNX090325
XB1102021-18,GB2020-18SNX090325
XB2081021-18,GB2020-18SNX090325
XB2082520-18,GB2020-18SNX090325
XB2090820-18,GB2020-18SNX090325
XB2101521-18,GB2020-18SNX090325
XB2102021-18,GB2020-18SNX090325
XB3090820-18,GB2020-18SNX090325
GBNTC090325-18,GB2020-18SNX090325
TB082420-18,GB2020-18SNX090325
XB1081021-18,GB2020-18SNX090325
XB3081021-18,GB2020-18SNX090325
